place,city,country
Inland Empire Liver Foundation,Rialto,US
Clinical Research of South Florida,Coral Gables,US
Atlanta Gastroenterology Associates,Atlanta,US
Clinical Research Unit,Chicago,US
LLC,Metairie,US
Tulane University Health Sciences Center,New Orleans,US
Kansas City Research Institute,Kansas City,US
PLLC,New York,US
Duke South Clinics,Durham,US
Carolinas Center for Liver Disease/Carolinas HealthCare System,Durham,US
Thomas Jefferson University,Philadelphia,US
Gastro One,Germantown,US
PC,Nashville,US
Texas Clinical Research Institute,Arlington,US
The Liver Institute at Methodist Dallas Medical Center,Dallas,US
Texas Digestive Disease Consultants,Dallas,US
Houston Methodist Hospital,Houston,US
Pinnacle Clinical Research,Live Oak,US
American Research Corporation at the Texas Liver Institute,San Antonio,US
Intermountain Liver Disease and Transplant Center,Murray,US
Inc d/b/a Bon Secours Liver Institute of Virginia,Newport News,US
Inc. d/b/a Bon Secours Liver Institute of Virginia,Richmond,US
McGuire VA Medical Center,Richmond,US
Swedish Organ Transplant and Liver Center,Seattle,US
University of Calgary,Calgary,CA
LMC Clinical Research Inc (Bayview),Toronto,CA
Toronto General Hospital,Toronto,CA
Toronto Liver Center,Toronto,CA
Inc.,Vaughan,CA
Princess Margaret Hospital,Kowloon,HK
The Chinese University of HK,Sha Tin,HK
Auckland Clinical Studies,Auckland,NZ
Hepatologie,Bern,CH
Universitatsspital Zurich,CHZurich,CH
Addenbrooke's Hospital,Cambridge,GB
Gilead Sciences,,
Reseach Site,New Lambton Heights,AU
Reserch Site,Gyor,HU
Biogen,,
Medizinische Universitaetsklinik Graz,Graz,AT
University Hospital Innsbruck,Innsbruck,AT
Krankenhaus Hietzing,Wien,AT
Wilhelminenspital,Wien,AT
ASZ Aalst,Aalst,BE
Imelda Ziekenhuis,Bonheiden,BE
AZ St Jan,Brugge,BE
Hopital Erasme,Brussel,BE
University Hospital Antwerp,Edegem,BE
Virga Jesse Jessa hospital,Hasselt,BE
AZ Delta,Roeselare,BE
University Hospital of Angers,Angers,FR
Hopital Cote Basque,Bayonne,FR
Chru Jean Minjoz,Besancon,FR
Metropole Savoie Hospital,Chambery,FR
Centre Hospitalier Sud Francilien,Corbeil Essonnes Cedex,FR
Hospital Henri Mondor,Creteil,FR
CHU de Nice,Nice,FR
Hôpital Bichat - Claude Bernard,Paris cedex,FR
Service Cancérologie,Toulouse,FR
Clinique Vauban,Valenciennes,FR
University Hospital Aachen,Aachen,DE
Universitäts-Herzzentrum Freiburg • Bad Krozingen,Bad Krozingen,DE
Kerckhoff Klinik,Bad Nauheim,DE
Vivantes Klinikum im Friedrichshaim,Berlin,DE
Charité Benjamin Franklin,Berlin,DE
Campus Virchow-Klinikum - Medizinische Klinik mit Schwerpunkt Kardiologie,Berlin,DE
Staedtische Kliniken Bielefeld,Bielefeld,DE
GFO Kliniken Bonn - St.-Marien-Hospital,Bonn,DE
Angiologie und Pneumologie),Bonn,DE
Pneumologie,Coburg,DE
St. Johannes- Hospital,Dortmund,DE
Pneumologie und Angiologie,Düsseldorf,DE
Universitaetsklinikum Freiburg Klinik für Kardiologie und Angiologie I,Freiburg,DE
Universitäres Herzzentrum Hamburg GmbH (UHZ),Hamburg,DE
Angiologie und Pneumologie (Innere Medizin III),Heidelberg,DE
Internistische Intensivmedizin,Jena,DE
Herzzentrum Leipzig - Universitätsklinik Klinik für Innere Medizin/Kardiologie,Leipzig,DE
Klinikum Ludwigshafen,Ludwigshafen,DE
Städtisches Klinikum Lüneburg,Lüneburg,DE
Kliniken Maria Hilf GmbH,Mönchengladbach,DE
Peter Osypka Herzzentrum,München,DE
Universitätsklinikum Münster - Department für Kardiologie und Angiologie,Münster,DE
St. Vincenz-Krankenhaus Paderborn - Medizinische Klinik II,Paderborn,DE
Universitätsmedizin Rostock,Rostock,DE
Universitäts Klinikum Tübingen,Tübingen,DE
Herzklinik Ulm,Ulm,DE
Universitätsklinik Ulm - Zentrum für Innere Medizin - Klinik für Innere Medizin II,Ulm,DE
Schwarzwald-Baar Klinikum - Kliniken Villingen-Schwenningen - Innere Medizin III: Kardiologie und Intensivmedizin,VillingenSchwenningen,DE
HELIOS Klinikum Wuppertal - Herzzentrum,Wuppertal,DE
Állami Szívkórház,Balatonfüred,HU
Budai Irgalmasrendi Kht.,Budapest,HU
Gottsegen György Országos Kardiológiai Intézet,Budapest,HU
Bajcsy-Zsilinszky Kórház és Rendelőintézet,Budapest,HU
Magyar Honvédség Egészségügyi Központ,Budapest,HU
Debreceni Egyetem Klinikai Központ,Debrecen,HU
Békés Megyei Központi Kórház,Gyula,HU
Petz Aladar Megyei Oktato Korhaz,Győr,HU
Jósa András Oktatókórház,Nyíregyháza,HU
Pécsi Tudományegyetem,Pécs,HU
Szegedi Tudományegyetem,Szeged,HU
Fejér Megyei Szent György Egyetemi Oktató Kórház,Székesfehérvár,HU
Ospedale San Donato- ASL 8 Arezzo,Arezzo,IT
Policlinico di Bari,Bari,IT
Ospedale Maggiore C.A. Pizzardi -OR - Laboratorio di Cardiologia Interventistica,Bologna,IT
Magna Graecia University,Catanzaro,IT
ASL2 Chieti - SS Maria Annunziata,Chieti,IT
A.S.O.S. Croce e Carle Cuneo,Cuneo,IT
AOU Sant'Anna,Ferrara,IT
Ospedale Careggi,Firenze,IT
Ospedali Riuniti di Foggia,Foggia,IT
Ospedale Alessandro Manzoni-Azienda Ospedaliera di Lecco,Lecco,IT
Asst Fatebenefratelli-Sacco,Milano,IT
AOU Policlinico di Modena,Modena,IT
University Hospital Federico II,Napoli,IT
Padova University Hospital,Padova,IT
Azienda Ospedaliero-Universitaria di Parma,Parma,IT
Ospedale degli Infermi,Rimini,IT
Ospedale degli Infermi di Rivoli,Rivoli,IT
Policlinico Agostino Gemelli,Roma,IT
S.Camillo Forlanini - Ospedale S.Camillo Reparto di Emodinamica,Rome,IT
Bolognini Hospital Seriate,Seriate,IT
"""Santa Maria"" University Hospital - Azienda Ospedaliera Santa Maria Di Terni",Terni,IT
U.O. Cardiologia Ospedale Borgo Trento,Verona,IT
Daegu Catholic University Hospital,Daegu,KR
Chonnam National University Hospital,Gwangju,KR
Inje Univ. Ilsan Paik Hospital,Gyeonggido,KR
The Catholic University of Korea St.Vincent's Hospital,Gyeonggido,KR
Hallym University Sacred Heart Hospital,Gyeonggido,KR
Inha University Hospital,Incheon,KR
Chonbuk National University Hospital,Jeonju,KR
Seoul National University Bundang Hospital,Seongnam,KR
Seoul National University Hospital,Seoul,KR
Severance Hospital,Seoul,KR
Samsung Medical Centre,Seoul,KR
SEOUL St.Maria,Seoul,KR
Boramae Medical Center,Seoul,KR
Korea University Guro Hospital,Seoul,KR
Korea University Anam Hospital,Seoul,KR
LTn University of Health Sciences hospital,Kaunas,LT
Klaipeda Seamen's Hospital,Klaipėda,LT
"Vilnius University Hospital ""Santariskiu Clinic""",Vilnius,LT
Republican Siauliai Hospital,Šiauliai,LT
St Antonius Hospital,Nieuwegein,NL
Radboud university medical center,Nijmegen,NL
Maasstad Hospital,Rotterdam,NL
MC Haaglanden,The Hague,NL
Polsko-Amerykanskie Kliniki Serca,BielskoBiala,PL
MCSN AHoP,Chrzanów,PL
Angiologii i Elektrokardiologii Polsko-Amerykanskie Kliniki Serca,Dąbrowa Górnicza,PL
Oddział Kliniczny Kardiologii Interwencyjnej z Pododdziałem Intenyswengo Nadzoru Kardiologicznego,Kraków,PL
AHP IV DEP K-Kozle,KędzierzynKoźle,PL
Clin-Medica OMC sp. z o.o. s.k.,Skierniewice,PL
Elektrofizjologii i Elektrostymulacji Polsko-Amerykanskie Kliniki Serca,Tychy,PL
Klinika Kardiologii i Angiologii Interwencyjnej,Warsaw,PL
Klinika Choroby Wieńcowej i Strukturalnych Chorób Serca,Warszawa,PL
Nzoz Salus,Łódź,PL
EPE,Almada,PT
EPE - Hospital de Santa Cruz,Carnaxide,PT
EPE - Hospital dos Covões,Coimbra,PT
EPE - Hospital Santa Marta,Lisboa,PT
EPE - Hospital de Santa Maria,Lisboa,PT
Emergency County Hospital Baia Mare,Baia Mare,RO
"""Prof. C.C. Iliescu"" Emergency Institute for Cardiovascular Diseases",Bucharest,RO
University Hospital of Bucharest,Bucharest,RO
Saint John Emergency Hospital,Bucharest,RO
Oradea Emergency County Clinical Hospital,Oradea,RO
Institutul de Boli Cardiovasculare Timisoara,Timişoara,RO
Emergency Institute of Cardiovascular Diseases and Transplantation,TârguMureş,RO
Clinical Center of RS,Belgrade,RS
Clinical Hospital Center -Zvezdara,Belgrade,RS
Institute of CV Diseases Clinical Center of RS,Belgrade,RS
Clinical Center Kragujevac,Kragujevac,RS
Institute of Cardiovascular Diseases of Vojvodina,Sremska Kamenica,RS
General University Hospital of Alicante,Alicante,ES
Hospital Universitari Germans Trias i Pujol,Badalona,ES
Complejo Hospitalario Universitario de Granada,Granada,ES
Bellvitge University Hospital,'Hospitalet de Llobregat,ES
Complejo Asistencial Universitario de León,León,ES
Hospital Ramon y Cajal,Madrid,ES
Clinica Universitaria San Carlos,Madrid,ES
Madrid,Madrid,ES
Hospital Universitario 12 de Octubre,Madrid,ES
Hospital Universitario Puerta de Hierro,Madrid,ES
Hospital Universitario Virgen de la Arrixaca,Murcia,ES
Hospital Universitario Virgen de La Victoria,Málaga,ES
Hospital Universitario de Salamanca,Salamanca,ES
Hospital Universitari i Politècnic La Fe,Valencia,ES
Hospital Clínico Universitario de Valladolid,Valladolid,ES
Hospital Álvaro Cunqueiro,Vigo,ES
HFR Freiburg - Kantonsspital Kardiologie,Fribourg,CH
Cardiocentro Ticino,Lugano,CH
Hsinchu Mackay Memorial Hospital (HMMH),Hsinchu,TW
Kaohsiung medical University Chung-Ho Memorial Hospital (KMUH),Kaohsiung,TW
E-DA Hospital,Kaohsiung,TW
Far Eastern Memorial Hospital (FEMH),New Taipei City,TW
404 Taichung,Taiwan,
Chi-Mei Medical Center (CMMC),Tainan,TW
National Cheng Kung University Hospital,Tainan,TW
Cheng Hsin General Hospital,Taipei,TW
Taipei Veterans General Hospital,Taipei,TW
Chang-Gung Memorial Hospital,Taoyuan,TW
Cherkasy regional cardiological center,Cherkasy,UA
Chernihiv City Hospital #2,Chernihiv,UA
Chernivtsi Regional Clinical Cardiology Dispensary,Chernivtsi,UA
"CI ""Dnipropetrovsk Joint Emergency Hospital""",Dnipropetrovsk,UA
Communal Institution Dnepropetrovsk Regional Diagnostic Center,Dnipro,UA
Ivano-Frankivsk Central City Clinical Hospital,IvanoFrankivs'k,UA
L.T. Malaya Therapy National Institute of the National Academy of medical science of UA,Kharkiv,UA
"Communal Health Care Institution ""Regional Clinical Hospital - Center of Emergency Medical Care and Disaster Medicine""",Kharkiv,UA
Kharkiv City Clinical Hospital #8,Kharkiv,UA
"Kharkiv Railway Clinical Hospital N1 of Brance ""Health Center"" of the Public joint stock company ""Ukrainian Railway""",Kharkov,UA
Khmelnytskyy regional hospital,Khmel'nyts'kyy,UA
Insititute of Heart of MoH UA,Kyiv,UA
Kyiv City Clinical Hospital#5,Kyiv,UA
State Institution 'National Scientific Central Institute of Cardiology named after MD Strazhesko',Kyiv,UA
Kyiv City Clinical Hospital 4,Kyiv,UA
Oleksandrivska Kiyv City Clinical Hospital,Kyiv,UA
Communal Institution of Kyiv Regional Rada,Kyiv,UA
Lviv Regional State Clinical Treatment and Diagnostic Cardiology Center,'viv,UA
Lutsk City Hospital,Luts'k,UA
Nikolaev Regional Clinical Hospital,Nikolayev,UA
Cardiosurgery Center,Odessa,UA
Communal Institution Rivne Regional Clinical Hospital,Rivne,UA
Communal Institution of Sumy Regional Rada,Sumy,UA
Transcarpathian Regional Clinical Cardiology Clinic,Uzhhorod,UA
"Communal Institution ""Vinnytsia Regional Diagnostic Center of cardiovascular disease""",Vinnytsya,UA
Vinnytsya Regional Clinical Hospital n.a. Pyrogov,Vinnytsya,UA
Zaporizhzhia Regional cardiology dispensary,Zaporizhzhia,UA
Blackpool Victoria Hospital,Blackpool,GB
University Hospital of Wales,Cardiff,GB
Golden Jubilee Hospital,Clydebank,GB
Royal Infirmary of Edinburgh,Edinburgh,GB
Altnagelvin Area Hospital,Londonderry,GB
Southern Health and Social Care Trust,Portadown,GB
Hartcentrum Hasselt,,
Medizinische Klinik II,,
Alabama Oncology,Birmingham,US
Local Institution,Chandler,US
Pc-Hal,Phoenix,US
Arizona Oncol Assoc Dba (Hem Onc Physicians&Extenders) Hope,Tucson,US
University Of Arkansas For Medical Sciences,Little Rock,US
Inc,Greenbrae,US
Los Angeles Hematology/Oncology Medical Group,Los Angeles,US
Ucla,Los Angeles,US
Torrance Health Association,Redondo Beach,US
Va San Diego Healthcare System,San Diego,US
Coastal Integrative Cancer Care,San Luis Obispo,US
Central Coast Medical Oncology Corporation,Santa Maria,US
Gene Upshaw Memorial Tahoe Forest Cancer Center,Truckee,US
Innovative Clinical Research Institute,Whittier,US
Rocky Mountain Cancer Center,Denver,US
St. Mary's Hospital Regional Cancer Center,Grand Junction,US
Memorial Cancer Institute,Hollywood,US
Cancer Specialists of North FL,Jacksonville,US
Florida Cancer Affiliates - Ocala,Ocala,US
University Cancer Blood Ctr,Athens,US
Winship Cancer Institute.,Atlanta,US
Illinois Cancer Specialists,Niles,US
Cancer Center Of Kansas,Wichita,US
Kentucky One Health St. Joseph East Cancer Center,Lexington,US
P.A.,Columbia,US
Pa,Edina,US
Pllc,Jackson,US
St. Francis Cancer Treatment Center,Grand Island,US
Comprehensive Cancer Centers of Nevada,Las Vegas,US
Cancer Care Specialists,Reno,US
07109 Belleville,United States,
Summit Medical Group,Florham Park,US
Saint Barnabas Medical Cancer Center,Livingston,US
Montefiore Medical Center,Bronx,US
Dumc,Durham,US
Wake Forest Baptist Health,WinstonSalem,US
MetroHealth Medical Center,Cleveland,US
Good Samaritan Hospital Corvallis,Corvallis,US
Oregon Health & Science University,Portland,US
Willamette Valley Cancer Center,Springfield,US
Lehigh Valley Health Network,Allentown,US
Allegheny Health Network,Pittsburgh,US
UPMC Hillman Cancer Center,Pittsburgh,US
Pc,Sayre,US
PA - South Austin Cancer Center,Austin,US
Texas Oncology,Dallas,US
Texas Oncology-Fort Worth 12th Ave,Fort Worth,US
Texas Oncology-Longview,Longview,US
Texas Oncology-Plano East,Plano,US
Texas Oncology Cancer Care And Research Center,Waco,US
Virginia Cancer Institute,Richmond,US
Providence Regional Cancer Partnership,Everett,US
Valley Medical Center,Renton,US
Medical Oncology Associates,Spokane,US
Instituto Medico Especializado Alexander Fleming,Capital Federal,AR
Clinica Viedma S.A.,Viedma,AR
Hospital Italiano De Buenos Aires,Caba,AR
Instituto Oncologico De Cordoba,Cordoba,AR
Centro Medico San Roque,Tucuman,AR
Hopital Du Sacre-Coeur De Montreal,Montreal,CA
CISSS du Bas-Saint-Laurent Hopital Regional de Rimouski,Rimouski,CA
Centre integre universitaire de sante et de services sociaux de la Mauricie-et-du-Centre-du-Quebec,TroisRivieres,CA
Centro Internacional de Estudios Clinicos,Recoleta,CL
Fundacion Arturo Lopez Perez,Santiago,CL
Komplexni onkologicke centrum,Novy Jicin,CZ
Onkologicka klinika VFN a 1. LF UK,Praha,CZ
Krankenhaus Nordwest GmbH,Frankfurt,DE
SRH Wald-Klinikum Gera GmbH.,Gera,DE
Klinikum Kassel,Kassel,DE
Klinik Loewenstein gGmbH,Loewenstein,DE
Helios Dr. Horst Schmidt Kliniken Wiesbaden,Wiesbaden,DE
Sotiria General Hospital,Athens,GR
Metropolitan Hospital,Neo Faliro,GR
Papageorgiou General Hospital,Thessaloniki,GR
IRST Meldola,Meldola,IT
Ospedale Degli Infermi,Rimini,IT
Azienda Ospedaliera S. Maria,Terni,IT
64060 Monterrey,NL,MX
Ambulatorium Chemioterapii,Bydgoszcz,PL
Oddzial Wewnetrzny,Sucha Beskidzka,PL
Klinika Nowotworow Pluca i Klatki Piersiowej,Warszawa,PL
Focus Lab Plus SRL,Bucuresti,RO
Sf. Nectarie Oncology Center,Craiova,RO
Prof. Dr. Ion Chiricuta Institute Of Oncology Day Care Dep,,RO
University Hospital Zuerich,Zuerich,CH
Bristol-Myers Squibb,,
University of Kentucky Chandler Medical Center,Lexington,US
University of Louisville,Louisville,US
University of Texas Health Science Center at San Antonio,San Antonio,US
Helsinki University Hospital,Helsinki,FI
Universitaetsklinikum Eppendorf,Hamburg,DE
LMU - Klinikum der Universität München,Munich,DE
Hospital Sungai Buloh,Sungai Buloh,MY
Hospital General de Especialidades,Campeche,MX
Hospital Trauma y Ortopedia Lomas Verdes,MX City,MX
Eramus MC,Rotterdam,NL
Mayo Hospital Lahore,Lahore,PK
University Medical Centre Ljubljana,Ljubljana,SI
King Edward VIII Hospital,Durban,ZA
Hospital Vall d' Hebron,Barcelona,ES
12 de Octubre University Hospital,Madrid,ES
University Hospital La Paz de Madrid,Madrid,ES
Lviv Regional Clinical Hospital,Lviv,UA
Hospital Maciel de Montevideo,Montevideo,UY
University of Texas,,
Children's Hospital of Alabama,Birmingham,US
University of Alabama at Birmingham Cancer Center,Birmingham,US
USA Health Strada Patient Care Center,Mobile,US
Providence Alaska Medical Center,Anchorage,US
Cardon Children's Medical Center,Mesa,US
Phoenix Childrens Hospital,Phoenix,US
Banner University Medical Center - Tucson,Tucson,US
Arkansas Children's Hospital,Little Rock,US
University of Arkansas for Medical Sciences,Little Rock,US
Kaiser Permanente Downey Medical Center,Downey,US
City of Hope Comprehensive Cancer Center,Duarte,US
Loma Linda University Medical Center,Loma Linda,US
Miller Children's and Women's Hospital Long Beach,Long Beach,US
Children's Hospital Los Angeles,Los Angeles,US
Mattel Children's Hospital UCLA,Los Angeles,US
Valley Children's Hospital,Madera,US
Children's Hospital and Research Center at Oakland,Oakland,US
Kaiser Permanente-Oakland,Oakland,US
Children's Hospital of Orange County,Orange,US
Lucile Packard Children's Hospital Stanford University,Palo Alto,US
Sutter Medical Center Sacramento,Sacramento,US
University of California Davis Comprehensive Cancer Center,Sacramento,US
Rady Children's Hospital - San Diego,San Diego,US
Naval Medical Center -San Diego,San Diego,US
UCSF Medical Center-Parnassus,San Francisco,US
UCSF Medical Center-Mission Bay,San Francisco,US
Santa Barbara Cottage Hospital,Santa Barbara,US
Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,Torrance,US
Children's Hospital Colorado,Aurora,US
Rocky Mountain Hospital for Children-Presbyterian Saint Luke's Medical Center,Denver,US
Connecticut Children's Medical Center,Hartford,US
Yale University,New Haven,US
Alfred I duPont Hospital for Children,Wilmington,US
MedStar Georgetown University Hospital,Washington,US
Children's National Medical Center,Washington,US
Broward Health Medical Center,Fort Lauderdale,US
Lee Memorial Health System,Fort Myers,US
Golisano Children's Hospital of Southwest Florida,Fort Myers,US
University of Florida Health Science Center - Gainesville,Gainesville,US
Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Hollywood,US
Nemours Children's Clinic-Jacksonville,Jacksonville,US
Palms West Radiation Therapy,Loxahatchee Groves,US
University of Miami Miller School of Medicine-Sylvester Cancer Center,Miami,US
Nicklaus Children's Hospital,Miami,US
Miami Cancer Institute,Miami,US
AdventHealth Orlando,Orlando,US
Arnold Palmer Hospital for Children,Orlando,US
Nemours Children's Clinic - Orlando,Orlando,US
UF Cancer Center at Orlando Health,Orlando,US
Nemours Children's Hospital,Orlando,US
Nemours Children's Clinic - Pensacola,Pensacola,US
Johns Hopkins All Children's Hospital,Saint Petersburg,US
Tampa General Hospital,Tampa,US
Saint Joseph's Hospital/Children's Hospital-Tampa,Tampa,US
Saint Mary's Hospital,West Palm Beach,US
Children's Healthcare of Atlanta - Egleston,Atlanta,US
Augusta University Medical Center,Augusta,US
Memorial Health University Medical Center,Savannah,US
University of Hawaii Cancer Center,Honolulu,US
Kapiolani Medical Center for Women and Children,Honolulu,US
Tripler Army Medical Center,Honolulu,US
Saint Luke's Mountain States Tumor Institute,Boise,US
Lurie Children's Hospital-Chicago,Chicago,US
University of Illinois,Chicago,US
University of Chicago Comprehensive Cancer Center,Chicago,US
Loyola University Medical Center,Maywood,US
Advocate Children's Hospital-Oak Lawn,Oak Lawn,US
Advocate Children's Hospital-Park Ridge,Park Ridge,US
Advocate Lutheran General Hospital,Park Ridge,US
Saint Jude Midwest Affiliate,Peoria,US
Southern Illinois University School of Medicine,Springfield,US
Riley Hospital for Children,Indianapolis,US
Saint Vincent Hospital and Health Care Center,Indianapolis,US
Blank Children's Hospital,Des Moines,US
University of Iowa/Holden Comprehensive Cancer Center,Iowa City,US
University of Kentucky/Markey Cancer Center,Lexington,US
